pair_id,gene_id,pilot_split,positive_deletion_strength,negative_deletion_strength,paired_strength_difference,positive_direction_agreement,status
PRIMARY_079,ENSG00000141753,development,0.0791901646894253,0.0048971835299234,0.0742929811595018,True,COMPLETED
PRIMARY_080,ENSG00000142669,development,-0.001696597962042,-0.0002653831516781,-0.0014312148103639,False,COMPLETED
PRIMARY_081,ENSG00000143061,development,1.155185601776755,0.0945873454834718,1.0605982562932832,True,COMPLETED
PRIMARY_082,ENSG00000143321,development,0.0019387318342873,-0.1182778420472816,0.120216573881569,True,COMPLETED
PRIMARY_083,ENSG00000143324,development,-0.0072708822812614,-0.0152613209683556,0.0079904386870941,False,COMPLETED
PRIMARY_084,ENSG00000147465,development,0.0149404760694489,2.4775357748768556,-2.4625952988074067,True,COMPLETED
PRIMARY_085,ENSG00000148429,development,0.0141206126763053,-0.0007533716156942,0.0148739842919995,True,COMPLETED
PRIMARY_086,ENSG00000149257,development,4.866531682283408,0.0195778415843541,4.8469538406990536,True,COMPLETED
PRIMARY_087,ENSG00000149557,development,-0.0610276673967149,-0.0292763531023014,-0.0317513142944134,False,COMPLETED
PRIMARY_088,ENSG00000150593,development,-0.0173335570901294,0.1808021024243391,-0.1981356595144685,False,COMPLETED
PRIMARY_089,ENSG00000152078,confirmation,0.1718576913611773,-0.0073713066874265,0.1792289980486039,True,COMPLETED
PRIMARY_090,ENSG00000152078,confirmation,2.6520620967178825,0.0382941514591195,2.613767945258763,True,COMPLETED
PRIMARY_091,ENSG00000152518,development,5.340883054141986,5.229792389491832,0.1110906646501534,True,COMPLETED
PRIMARY_092,ENSG00000152518,development,5.386894995256309,0.0894380428836409,5.297456952372668,True,COMPLETED
PRIMARY_093,ENSG00000152804,confirmation,0.0439120978546139,0.5070869661554431,-0.4631748683008292,True,COMPLETED
PRIMARY_094,ENSG00000155096,development,-0.0016260656773152,-0.1176725914531398,0.1160465257758245,False,COMPLETED
PRIMARY_095,ENSG00000155506,confirmation,2.13780218198696,0.1965000854800553,1.9413020965069048,True,COMPLETED
PRIMARY_096,ENSG00000157404,development,4.4690533457053245,0.1712565754335004,4.297796770271824,True,COMPLETED
PRIMARY_097,ENSG00000157404,development,3.7943795741759128,-0.0489982605008743,3.843377834676787,True,COMPLETED
PRIMARY_098,ENSG00000158373,confirmation,1.3948752284775878e-05,-0.0043029676599832,0.004316916412268,True,COMPLETED
PRIMARY_099,ENSG00000158406,confirmation,0.0045759786456809,-0.0022291660984539,0.0068051447441348,True,COMPLETED
PRIMARY_100,ENSG00000158406,confirmation,0.0014470151728822,0.1018887498675091,-0.1004417346946269,True,COMPLETED
PRIMARY_101,ENSG00000160193,development,0.0038863140746734,0.0020582129759674,0.001828101098706,True,COMPLETED
PRIMARY_102,ENSG00000161692,development,-3.029719191083302e-05,0.0007118653094648,-0.0007421625013757,False,COMPLETED
PRIMARY_103,ENSG00000163218,development,0.0101446325484988,0.0593825776295222,-0.0492379450810234,True,COMPLETED
PRIMARY_104,ENSG00000163297,development,0.272532417159268,-0.0390750677728384,0.3116074849321064,True,COMPLETED
PRIMARY_105,ENSG00000163297,development,-0.0114541942778965,-0.0044372734329742,-0.0070169208449222,False,COMPLETED
PRIMARY_106,ENSG00000163435,development,0.0312304848325599,0.0081140377142974,0.0231164471182625,True,COMPLETED
PRIMARY_107,ENSG00000163602,confirmation,4.968179814255366,4.812471714198919,0.1557081000564473,True,COMPLETED
PRIMARY_108,ENSG00000163714,development,-0.0206230654765673,-0.0142276593513406,-0.0063954061252267,False,COMPLETED
PRIMARY_109,ENSG00000163734,development,2.319637464568591,1.2130687153968038,1.106568749171787,True,COMPLETED
PRIMARY_110,ENSG00000163734,development,0.0125190020318886,0.0076348399958305,0.004884162036058,True,COMPLETED
PRIMARY_111,ENSG00000163739,development,0.4492964263703358,-0.0144390075814166,0.4637354339517525,True,COMPLETED
PRIMARY_112,ENSG00000163958,development,0.8144233857075927,0.2314539265312611,0.5829694591763315,True,COMPLETED
PRIMARY_113,ENSG00000164442,confirmation,0.0167160788050555,-0.0013581610836297,0.0180742398886852,True,COMPLETED
PRIMARY_114,ENSG00000164442,confirmation,-0.0027934328107246,-0.003774601429999,0.0009811686192744,False,COMPLETED
PRIMARY_115,ENSG00000164442,confirmation,-0.0005665429055614,-0.0009105121059196,0.0003439692003581,False,COMPLETED
PRIMARY_116,ENSG00000164442,confirmation,0.0231342610679146,0.0016663792732281,0.0214678817946865,True,COMPLETED
PRIMARY_117,ENSG00000167775,development,0.0021668593160288,0.027062614620732,-0.0248957553047031,True,COMPLETED
PRIMARY_118,ENSG00000168298,development,0.0008721837232545,0.0004809014863873,0.0003912822368672,True,COMPLETED
PRIMARY_119,ENSG00000168298,development,-0.0104703108440897,-0.0019120034132527,-0.008558307430837,False,COMPLETED
PRIMARY_120,ENSG00000168461,development,0.3396526656800063,5.115959618919396,-4.77630695323939,True,COMPLETED
PRIMARY_121,ENSG00000168785,confirmation,0.4388721911275235,0.1003475535632825,0.338524637564241,True,COMPLETED
PRIMARY_122,ENSG00000168785,confirmation,0.4387759817544472,0.0042758824574926,0.4345000992969545,True,COMPLETED
PRIMARY_123,ENSG00000169442,development,0.0008789707852834,-0.0049376230119726,0.005816593797256,True,COMPLETED
PRIMARY_124,ENSG00000169554,development,0.4967106469787046,0.0680226017076988,0.4286880452710058,True,COMPLETED
PRIMARY_125,ENSG00000171345,development,0.0189112365022019,0.0046027569681896,0.0143084795340122,True,COMPLETED
PRIMARY_126,ENSG00000172270,development,-4.411942735813212,0.0028280572734979,-4.41477079308671,False,COMPLETED
PRIMARY_127,ENSG00000173559,development,0.0348285521971902,-0.0611256776764168,0.0959542298736071,True,COMPLETED
PRIMARY_128,ENSG00000173848,development,0.0267221721532866,0.0020727662955177,0.0246494058577688,True,COMPLETED
PRIMARY_129,ENSG00000173848,development,0.0461504194981579,0.0043914372800326,0.0417589822181252,True,COMPLETED
PRIMARY_130,ENSG00000175040,development,1.4264182601292026,0.2442901014663796,1.182128158662823,True,COMPLETED
PRIMARY_131,ENSG00000176485,development,0.0182537614968596,0.0342072542141955,-0.0159534927173358,True,COMPLETED
PRIMARY_132,ENSG00000177352,development,0.000833670094094,0.0001190657233092,0.0007146043707848,True,COMPLETED
PRIMARY_133,ENSG00000179097,development,0.0344784234959925,0.0045101949404662,0.0299682285555262,True,COMPLETED
PRIMARY_134,ENSG00000179097,development,-0.3984396385499806,1.760902908487377,-2.1593425470373577,False,COMPLETED
PRIMARY_135,ENSG00000179348,development,4.704136771096334,0.0022587217567036,4.701878049339631,True,COMPLETED
PRIMARY_136,ENSG00000179348,development,4.943775337222641,0.0167168007869475,4.927058536435694,True,COMPLETED
PRIMARY_137,ENSG00000179348,development,0.0146820399145948,0.0073386275019258,0.007343412412669,True,COMPLETED
PRIMARY_138,ENSG00000180198,development,-0.0045129847911997,0.0015538272190056,-0.0060668120102054,False,COMPLETED
PRIMARY_139,ENSG00000180537,development,-0.8673155753050787,-1.2455555343310891,0.3782399590260104,False,COMPLETED
PRIMARY_140,ENSG00000180537,development,0.0761631835287417,0.0673017098582429,0.0088614736704988,True,COMPLETED
PRIMARY_141,ENSG00000180573,development,0.0005020536548041,0.0006748256842623,-0.0001727720294582,True,COMPLETED
PRIMARY_142,ENSG00000180628,development,-0.0207021175980361,0.0061787564550863,-0.0268808740531225,False,COMPLETED
PRIMARY_143,ENSG00000181788,development,5.1936686437455375,0.0248946022528331,5.168774041492704,True,COMPLETED
PRIMARY_144,ENSG00000181788,development,2.2181155116895495,2.0165066362157056,0.2016088754738438,True,COMPLETED
PRIMARY_145,ENSG00000182118,development,0.1715055963396956,0.0638047780945987,0.1077008182450969,True,COMPLETED
PRIMARY_146,ENSG00000182512,development,0.0063055585980036,0.0616297173358417,-0.0553241587378381,True,COMPLETED
PRIMARY_147,ENSG00000182704,development,0.0537456027902414,-5.070770221255136,5.124515824045378,True,COMPLETED
PRIMARY_148,ENSG00000183496,development,1.8084213134775624,0.2762455191485031,1.532175794329059,True,COMPLETED
PRIMARY_149,ENSG00000184007,development,0.0221138895067953,0.0063810212882708,0.0157328682185244,True,COMPLETED
PRIMARY_150,ENSG00000184009,development,-0.000525573924345,0.042255429044117,-0.042781002968462,False,COMPLETED
PRIMARY_151,ENSG00000184557,development,3.2372683836791714,0.004852573929897,3.2324158097492743,True,COMPLETED
PRIMARY_152,ENSG00000185885,development,0.0014251545206507,-3.358511292492018,3.359936447012669,True,COMPLETED
PRIMARY_153,ENSG00000187134,development,0.0104443123969469,0.1218967869450011,-0.1114524745480541,True,COMPLETED
PRIMARY_154,ENSG00000187134,development,0.0950704420589629,-0.2139418515376769,0.3090122935966399,True,COMPLETED
PRIMARY_155,ENSG00000187688,development,5.19778449893805,0.0127568471375676,5.185027651800483,True,COMPLETED
PRIMARY_156,ENSG00000197223,development,-0.0015285264966921,-0.0209672604990371,0.019438734002345,False,COMPLETED
PRIMARY_157,ENSG00000198087,confirmation,1.162107029359582,0.0021731784183316,1.1599338509412505,True,COMPLETED
PRIMARY_158,ENSG00000198492,development,-0.0011522160368802,-0.000275890431272,-0.0008763256056081,False,COMPLETED
PRIMARY_159,ENSG00000198729,confirmation,0.3297731311723106,0.0253029828713753,0.3044701483009353,True,COMPLETED
PRIMARY_160,ENSG00000198898,development,0.0001725002534738,-0.0102349943626398,0.0104074946161136,True,COMPLETED
PRIMARY_161,ENSG00000204713,development,0.0101123051624885,0.0026139012427961,0.0074984039196923,True,COMPLETED
